Job Title,Job Link
"ASSISTANT LOANS OFFICER
Energetic young people to be trained as loans officer




 Harare
 Expires 14 May 2025
 Full Time
Posted 21 minutes",https://vacancymail.co.zw/jobs/assistant-loans-officer-63301/
"Heavy Machinery Truck Sales Executive
ST-ONE Machinery
We are seeking a motivated and results-driven Heavy Machinery Sales Executive to join our dynamic sales team. The successful candidate will be responsible for promoting and selling Howo Trucks, a premier line of heavy-duty vehicles known for their reliability and performance. This position requires a deep understanding of the construction …




 Harare
 Expires 30 Apr 2025
 Full Time
Posted 1 hour, 34 minutes",https://vacancymail.co.zw/jobs/heavy-machinery-truck-sales-executive-63300/
"Sales and Business Development Officer
We are looking for a young at heart, genuine, quick thinker, self starter, dynamic and results-driven person who will be responsible for developing and implementing marketing strategies to drive brand growth, increase sales, and enhance our market position. The role involves assisting in digital marketing, content creation, market research, event …




 Harare
 Expires 07 May 2025
 Full Time
 TBA
Posted 20 hours, 59 minutes",https://vacancymail.co.zw/jobs/sales-and-business-development-officer-63299/
"Personal Assistant to CEO
Southsea Investments Pvt Ltd
An exciting opportunity has arisen for suitably qualified and self-driven individuals in a leading diversified conglomerate for the position of Personal Assistant (PA to CEO). The successful candidate will be responsible for driving business performance through providing administrative and secretarial support to the CEO.




 Harare
 Expires 24 Apr 2025
 Full Time
Posted 2 days, 19 hours",https://vacancymail.co.zw/jobs/personal-assistant-to-ceo-63298/
"Supply Chain Attachee (Mutare Branch)
Nash Paints
Nash Paints is looking for a Procurement, Purchasing and Supply Chains Management Attachee to join their organization.




 Mutare
 Expires 14 Apr 2025
 Full Time
 TBA
Posted 2 days, 19 hours",https://vacancymail.co.zw/jobs/supply-chain-attachee-mutare-branch-63297/
"SALES AND MARKETING  INTERN
Nash Paints
Nash Paints is looking for a Sales and Marketing Attachees to join their organization.




 Mutare
 Expires 14 Apr 2025
 Full Time
 TBA
Posted 2 days, 19 hours",https://vacancymail.co.zw/jobs/sales-and-marketing-intern-63296/
"Sales Representative - Gokwe
Deadline :14 April 2025 Job Description We are looking for self-driven and enthusiastic sales people to join our company in the motor spares industry, the individual must be based in Gokwe.




 Gokwe
 Expires 18 Apr 2025
 Full Time
 TBA
Posted 2 days, 19 hours",https://vacancymail.co.zw/jobs/sales-representative-gokwe-63295/
"General Hand
Location: Harare Job Description We are looking for a Cleaner to carry out cleaning of our facilities on fixed-term contract.




 Harare
 Expires 18 Apr 2025
 Full Time
 TBA
Posted 2 days, 21 hours",https://vacancymail.co.zw/jobs/general-hand-63294/
"Business Development Executive
BUSINESS DEVELOPMENT EXECUTIVE




 Harare
 Expires 18 Apr 2025
 Full Time
 TBA
Posted 2 days, 21 hours",https://vacancymail.co.zw/jobs/business-development-executive-63293/
"Sales Champion -Solar  Project
Nash Furnishers
We are seeking a highly motivated and experienced Sales Champion to lead our solar project. The successful candidate will be responsible for driving sales growth, building relationships with key customers, and identifying new business opportunities in the solar industry




 Harare
 Expires 21 Apr 2025
 Full Time
 TBA
Posted 2 days, 21 hours",https://vacancymail.co.zw/jobs/sales-champion-solar-project-63292/
